ID	logFC	PValue
hsa-miR-92a-2*	1.78E-15	2.55E-04
hsa-miR-92b*	1.78E-15	2.55E-04
hsa-miR-935	1.78E-15	2.55E-04
hsa-miR-938	1.78E-15	2.55E-04
hsa-miR-941	1.78E-15	2.55E-04
hsa-miR-942	1.78E-15	2.55E-04
hsa-miR-943	1.78E-15	2.55E-04
hsa-miR-944	1.78E-15	2.55E-04
hsa-miR-96*	1.78E-15	2.55E-04
hsv1-miR-H11	1.78E-15	2.55E-04
hsv1-miR-H12	1.78E-15	2.55E-04
hsv1-miR-H13	1.78E-15	2.55E-04
hsv1-miR-H14-5p	1.78E-15	2.55E-04
hsv1-miR-H2	1.78E-15	2.55E-04
hsv1-miR-H3*	1.78E-15	2.55E-04
hsv1-miR-H4	1.78E-15	2.55E-04
hsv1-miR-H4*	1.78E-15	2.55E-04
hsv1-miR-H5-3p	1.78E-15	2.55E-04
hsv1-miR-H5-5p	1.78E-15	2.55E-04
hsv1-miR-H7	1.78E-15	2.55E-04
hsv1-miR-H8*	1.78E-15	2.55E-04
hsv2-miR-H11*	1.78E-15	2.55E-04
hsv2-miR-H13	1.78E-15	2.55E-04
hsv2-miR-H19	1.78E-15	2.55E-04
hsv2-miR-H20	1.78E-15	2.55E-04
hsv2-miR-H21	1.78E-15	2.55E-04
hsv2-miR-H23*	1.78E-15	2.55E-04
hsv2-miR-H4-3p	1.78E-15	2.55E-04
hsv2-miR-H4-5p	1.78E-15	2.55E-04
hsv2-miR-H7-5p	1.78E-15	2.55E-04
kshv-miR-K12-1	1.78E-15	2.55E-04
kshv-miR-K12-11	1.78E-15	2.55E-04
kshv-miR-K12-11*	1.78E-15	2.55E-04
kshv-miR-K12-12	1.78E-15	2.55E-04
kshv-miR-K12-2	1.78E-15	2.55E-04
kshv-miR-K12-3*	1.78E-15	2.55E-04
kshv-miR-K12-4-3p	1.78E-15	2.55E-04
kshv-miR-K12-4-5p	1.78E-15	2.55E-04
kshv-miR-K12-5	1.78E-15	2.55E-04
kshv-miR-K12-6-3p	1.78E-15	2.55E-04
kshv-miR-K12-6-5p	1.78E-15	2.55E-04
kshv-miR-K12-9	1.78E-15	2.55E-04
kshv-miR-K12-9*	1.78E-15	2.55E-04
NC1_00000197	1.78E-15	2.55E-04
NC1_00000215	1.78E-15	2.55E-04
NC2_00079215	1.78E-15	2.55E-04
NC2_00092197	1.78E-15	2.55E-04
NC2_00106057	1.78E-15	2.55E-04
NC2_00122731	1.78E-15	2.55E-04
NegativeControl	1.78E-15	2.55E-04
