"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"change"
"hsa-miR-137"	1.15472960739842	3.38124738894187	251.780385552556	1.06244136822344e-56	4.8482018354033e-55	"UP"
"hsa-miR-1288-5p"	-0.670703832116621	3.45092463810372	244.941276017369	3.29102724888703e-55	1.47174738570228e-53	"NOT"
"hsa-miR-521"	-1.26999836455488	4.99784038666474	237.714382546307	1.2390302087124e-53	5.43229715035478e-52	"DOWN"
"hsa-miR-3191-5p"	-2.92531888905756	0.993424217236186	235.566325496002	3.64318616845901e-53	1.56657005243737e-51	"DOWN"
"hsa-miR-101-3p"	2.23196918878169	8.29818137263661	233.8381102151	8.67649174518388e-53	3.66049727211909e-51	"UP"
"hsa-miR-1-5p"	-1.31529920773308	5.73438396473978	231.690806517019	2.5504195140079e-52	1.05606259876327e-50	"DOWN"
"hsa-miR-210-5p"	3.15941978817607	9.37725448287553	230.629616914716	4.34544677347807e-52	1.76662163372672e-50	"UP"
"hsa-miR-202-3p"	2.13530156929222	4.71197856342965	229.563810429223	7.42110609144097e-52	2.96314164651107e-50	"UP"
"hsa-miR-1205"	-1.41388602088884	2.52327780928213	228.144720698932	1.51340457390487e-51	5.93679408289699e-50	"DOWN"
"hsa-miR-1182"	-1.47371869438264	4.23137070382744	226.07583798459	4.27728613376891e-51	1.64896755088057e-49	"DOWN"
"hsa-miR-3117-5p"	-1.64036184753389	6.71124816008931	220.902158358216	5.74912350713778e-50	2.17882036643391e-48	"DOWN"
"hsa-miR-655-3p"	-2.21454201460461	1.1042942130578	212.368618642501	4.17939883142111e-48	1.55752263117627e-46	"DOWN"
"hsa-miR-410-5p"	5.14426164017965	3.6115843326323	211.089340064819	7.94704257952747e-48	2.91304708324974e-46	"UP"
"hsa-miR-4652-5p"	-1.51109346215045	1.51345626124735	209.413073511206	1.84466438374934e-47	6.65269284203796e-46	"DOWN"
"hsa-miR-6817-3p"	-1.30401506861073	2.27760108074455	208.749266507579	2.57480412350103e-47	9.13851114309254e-46	"DOWN"
"hsa-miR-885-3p"	-1.45996721926197	5.085481804814	207.988284459267	3.77376589605782e-47	1.3184594599352e-45	"DOWN"
"hsa-miR-2115-5p"	-1.5270783318869	1.94446958389995	204.858314304337	1.81844772575717e-46	6.25546017660465e-45	"DOWN"
"hsa-miR-361-5p"	1.6366382020268	3.78359061552063	200.617923949233	1.53104542531283e-45	5.18699631969621e-44	"UP"
"hsa-miR-1469"	1.68148741619782	5.46069678962456	199.68573697976	2.44574618973196e-45	8.1622216122995e-44	"UP"
"hsa-miR-1273a"	1.75615767012131	9.46380628306195	199.446078954758	2.75873945226531e-45	9.07138443421357e-44	"UP"
"hsa-miR-3176"	3.39149809795872	4.55101921144137	199.250308701248	3.04391708491527e-45	9.8640559447399e-44	"UP"
"hsa-miR-338-3p"	-2.23730901752179	4.0751455244967	198.969149610064	3.50581797439753e-45	1.11985842725041e-43	"DOWN"
"hsa-let-7g-5p"	1.72236907021283	9.49163330454547	190.461541055307	2.5210834898622e-43	7.93963758215756e-42	"UP"
"hsa-miR-708-5p"	1.83055728867044	2.67127038408875	189.778709635771	3.55331813824505e-43	1.10350268848832e-41	"UP"
"hsa-miR-1304-5p"	-1.30603412644823	4.46166090210615	187.912347263472	9.07890494292759e-43	2.78088102087481e-41	"DOWN"
"hsa-miR-106a-5p"	1.57246043701571	9.02417735714387	185.085215601041	3.76005945273751e-42	1.13614769409744e-40	"UP"
"hsa-miR-1197"	-1.22795612891511	2.82161729258062	180.305753589433	4.15587246034286e-41	1.23900410951022e-39	"DOWN"
"hsa-miR-107"	3.25942595415701	9.71088247566962	174.978745286534	6.0512927587304e-40	1.77575606420464e-38	"UP"
"hsa-miR-2276-5p"	2.04317008583211	5.13445052139959	174.957890892791	6.11508125866537e-40	1.77575606420464e-38	"UP"
